t_stop1_ps,t_stop1_ns,ovf_stop1,refno_unwrapped_stop1,t_stop4_ps,t_stop4_ns,ovf_stop4,refno_unwrapped_stop4,STOP1,REFNO1,STOP4,REFNO4,active_stop1,active_stop4
0.0,0.0,0.0,605.0,0.0,0.0,0.0,2572.0,60103.0,605.0,33638.0,2572.0,True,True
179948357.0,179948.357,0.0,2405.0,39023620.0,39023.62,0.0,2962.0,8460.0,2405.0,57258.0,2962.0,True,True
304026390.0,304026.39,0.0,3645.0,290538495.0,290538.495,1.0,5477.0,86493.0,3645.0,72133.0,1381.0,True,True
552514740.0,552514.74,1.0,6130.0,440731537.0,440731.537,1.0,6979.0,74843.0,2034.0,65175.0,2883.0,True,True
660627065.0,660627.065,1.0,7211.0,575547801.0,575547.801,2.0,8327.0,87168.0,3115.0,81439.0,135.0,True,True
705088117.0,705088.117,1.0,7656.0,824970888.0,824970.888,2.0,10822.0,48220.0,3560.0,4526.0,2630.0,True,True
1092532211.0,1092532.211,2.0,11530.0,1201043583.0,1201043.583,3.0,14582.0,92314.0,3338.0,77221.0,2294.0,True,True
1345776104.0,1345776.104,3.0,14063.0,1326315318.0,1326315.318,3.0,15835.0,36207.0,1775.0,48956.0,3547.0,True,True
1746618491.0,1746618.491,4.0,18071.0,1725536238.0,1725536.238,4.0,19827.0,78594.0,1687.0,69876.0,3443.0,True,True
2089495938.0,2089495.938,5.0,21500.0,1879870016.0,1879870.016,5.0,21371.0,56041.0,1020.0,3654.0,891.0,True,True
2252183884.0,2252183.884,5.0,23127.0,2156494240.0,2156494.24,5.0,24137.0,43987.0,2647.0,27878.0,3657.0,True,True
2252604301.0,2252604.301,5.0,23131.0,2383513602.0,2383513.602,6.0,26407.0,64404.0,2651.0,47240.0,1831.0,True,True
2253345574.0,2253345.574,5.0,23139.0,2593090218.0,2593090.218,6.0,28503.0,5677.0,2659.0,23856.0,3927.0,True,True
2253473918.0,2253473.918,5.0,23140.0,2763350790.0,2763350.79,7.0,30205.0,34021.0,2660.0,84428.0,1533.0,True,True
2253552503.0,2253552.503,5.0,23141.0,2835538347.0,2835538.347,7.0,30927.0,12606.0,2661.0,71985.0,2255.0,True,True
2413922492.0,2413922.492,6.0,24744.0,2996682847.0,2996682.847,7.0,32539.0,82595.0,168.0,16485.0,3867.0,True,True
2801670783.0,2801670.783,6.0,28622.0,3347753744.0,3347753.744,8.0,36049.0,30886.0,4046.0,87382.0,3281.0,True,True
3086407848.0,3086407.848,7.0,31469.0,3567209499.0,3567209.499,9.0,38244.0,67951.0,2797.0,43137.0,1380.0,True,True
3204112368.0,3204112.368,7.0,32646.0,3663490846.0,3663490.846,9.0,39207.0,72471.0,3974.0,24484.0,2343.0,True,True
3382908724.0,3382908.724,8.0,34434.0,4021144781.0,4021144.781,10.0,42783.0,68827.0,1666.0,78419.0,1823.0,True,True
3399864955.0,3399864.955,8.0,34604.0,4128788290.0,4128788.29,10.0,43860.0,25058.0,1836.0,21928.0,2900.0,True,True
3681039681.0,3681039.681,9.0,37415.0,4531290914.0,4531290.914,11.0,47885.0,99784.0,551.0,24552.0,2829.0,True,True
3756322303.0,3756322.303,9.0,38168.0,4812880948.0,4812880.948,12.0,50701.0,82406.0,1304.0,14586.0,1549.0,True,True
4013847844.0,4013847.844,9.0,40744.0,5072220104.0,5072220.104,13.0,53294.0,7947.0,3880.0,53742.0,46.0,True,True
4128286562.0,4128286.562,10.0,41888.0,5268518235.0,5268518.235,13.0,55257.0,46665.0,928.0,51873.0,2009.0,True,True
4325803668.0,4325803.668,10.0,43863.0,5269090780.0,5269090.78,13.0,55263.0,63771.0,2903.0,24418.0,2015.0,True,True
4537004534.0,4537004.534,11.0,45975.0,5426790941.0,5426790.941,13.0,56840.0,64637.0,919.0,24579.0,3592.0,True,True
4569196146.0,4569196.146,11.0,46297.0,5792454711.0,5792454.711,14.0,60496.0,56249.0,1241.0,88349.0,3152.0,True,True
4823523356.0,4823523.356,11.0,48840.0,6076672884.0,6076672.884,15.0,63339.0,83459.0,3784.0,6522.0,1899.0,True,True
5191993727.0,5191993.727,12.0,52525.0,6123999324.0,6123999.324,15.0,63812.0,53830.0,3373.0,32962.0,2372.0,True,True
5226926833.0,5226926.833,12.0,52874.0,6335853891.0,6335853.891,16.0,65930.0,86936.0,3722.0,87529.0,394.0,True,True
5524803854.0,5524803.854,13.0,55853.0,6583375460.0,6583375.46,16.0,68406.0,63957.0,2605.0,9098.0,2870.0,True,True
5548832530.0,5548832.53,13.0,56093.0,6626706037.0,6626706.037,16.0,68839.0,92633.0,2845.0,39675.0,3303.0,True,True
5832006365.0,5832006.365,14.0,58925.0,6855986957.0,6855986.957,17.0,71132.0,66468.0,1581.0,20595.0,1500.0,True,True
6225620960.0,6225620.96,15.0,62861.0,7212772618.0,7212772.618,18.0,74700.0,81063.0,1421.0,6256.0,972.0,True,True
6495402589.0,6495402.589,16.0,65559.0,7580515179.0,7580515.179,19.0,78377.0,62692.0,23.0,48817.0,553.0,True,True
6656402723.0,6656402.723,16.0,67169.0,7757908093.0,7757908.093,19.0,80151.0,62826.0,1633.0,41731.0,2327.0,True,True
7044249555.0,7044249.555,17.0,71048.0,7824275847.0,7824275.847,19.0,80815.0,9658.0,1416.0,9485.0,2991.0,True,True
7052484541.0,7052484.541,17.0,71130.0,7988594698.0,7988594.698,20.0,82458.0,44644.0,1498.0,28336.0,538.0,True,True
7078976254.0,7078976.254,17.0,71395.0,8295712890.0,8295712.89,20.0,85529.0,36357.0,1763.0,46528.0,3609.0,True,True
7338794820.0,7338794.82,18.0,73993.0,8337488208.0,8337488.208,20.0,85947.0,54923.0,265.0,21846.0,4027.0,True,True
7497543639.0,7497543.639,18.0,75581.0,8611254571.0,8611254.571,21.0,88684.0,3742.0,1853.0,88209.0,2668.0,True,True
7540823744.0,7540823.744,18.0,76013.0,8643868314.0,8643868.314,21.0,89011.0,83847.0,2285.0,1952.0,2995.0,True,True
7541026432.0,7541026.432,18.0,76015.0,8708255556.0,8708255.556,21.0,89654.0,86535.0,2287.0,89194.0,3638.0,True,True
7616183287.0,7616183.287,18.0,76767.0,8952906236.0,8952906.236,22.0,92101.0,43390.0,3039.0,39874.0,1989.0,True,True
7811662436.0,7811662.436,19.0,78722.0,9264018152.0,9264018.152,23.0,95212.0,22539.0,898.0,51790.0,1004.0,True,True
7829792786.0,7829792.786,19.0,78903.0,9662648296.0,9662648.296,24.0,99198.0,52889.0,1079.0,81934.0,894.0,True,True
7967412679.0,7967412.679,19.0,80279.0,9997408320.0,9997408.32,25.0,102546.0,72782.0,2455.0,41958.0,146.0,True,True
7979675675.0,7979675.675,19.0,80402.0,10119490585.0,10119490.585,25.0,103767.0,35778.0,2578.0,24223.0,1367.0,True,True
8314801406.0,8314801.406,20.0,83753.0,10216196941.0,10216196.941,25.0,104734.0,61509.0,1833.0,30579.0,2334.0,True,True
8476127642.0,8476127.642,20.0,85366.0,10532447696.0,10532447.696,26.0,107896.0,87745.0,3446.0,81334.0,1400.0,True,True
8868175449.0,8868175.449,21.0,89287.0,10879358895.0,10879358.895,27.0,111365.0,35552.0,3271.0,92533.0,773.0,True,True
8996307615.0,8996307.615,22.0,90568.0,11021638479.0,11021638.479,27.0,112788.0,67718.0,456.0,72117.0,2196.0,True,True
9033419540.0,9033419.54,22.0,90939.0,11173606528.0,11173606.528,27.0,114308.0,79643.0,827.0,40166.0,3716.0,True,True
9343916593.0,9343916.593,22.0,94044.0,11355620399.0,11355620.399,28.0,116128.0,76696.0,3932.0,54037.0,1440.0,True,True
9681356385.0,9681356.385,23.0,97419.0,11648684646.0,11648684.646,29.0,119059.0,16488.0,3211.0,18284.0,275.0,True,True
9806086512.0,9806086.512,24.0,98666.0,11674137480.0,11674137.48,29.0,119313.0,46615.0,362.0,71118.0,529.0,True,True
9918373569.0,9918373.569,24.0,99789.0,11938822395.0,11938822.395,29.0,121960.0,33672.0,1485.0,56033.0,3176.0,True,True
10101275770.0,10101275.77,24.0,101618.0,12343593854.0,12343593.854,30.0,126008.0,35873.0,3314.0,27492.0,3128.0,True,True
